customer_id,first_name,last_name,email,phone,date_of_birth,join_date,customer_segment
CUST-00001,Laurie,Nicholson,mclaughlinjacob@example.org,5405133714,2003-04-09,2023-03-15,Retail
CUST-00002,Ronnie,Sanchez,aduffy@example.org,871-968-3335x9085,1963-06-02,2023-10-14,Retail
CUST-00003,Barbara,Sims,dustinlynn@example.com,694.650.2304x03048,1984-07-15,2022-07-09,Corporate
CUST-00004,Alexandra,Craig,richardshannon@example.com,678-393-7639x7364,1945-10-21,2024-08-29,Retail
CUST-00005,Tara,Austin,alexandra55@example.org,803-585-6493x83097,1942-07-31,2023-08-23,Retail
CUST-00006,Whitney,Rich,gpowers@example.net,750-828-0331,2004-10-28,2024-06-15,Wealth
CUST-00007,Amanda,Morrison,thomas88@example.com,845.889.7395,1949-02-18,2021-06-23,Wealth
CUST-00008,Justin,Johnson,tylersaunders@example.com,(480)482-6860x833,2000-05-25,2026-01-19,Retail
CUST-00009,Maria,Beltran,cheyenne75@example.com,851-872-3893x4956,1977-12-06,2025-03-22,Wealth
CUST-00010,Jennifer,Palmer,richardsmith@example.org,+1-795-891-0221,1947-08-25,2023-09-18,Wealth
CUST-00011,William,Sharp,pnguyen@example.net,693.378.5778x1485,1943-09-09,2025-04-20,Wealth
CUST-00012,Justin,Shaffer,zbowen@example.net,707.342.2314x1978,2002-12-25,2021-04-15,Corporate
CUST-00013,Brandon,Hughes,bensonjoseph@example.net,783-406-4106x1398,1950-06-01,2024-06-23,Retail
CUST-00014,Ashley,Farmer,kylewalker@example.net,(299)724-6886x78646,2004-11-30,2023-05-17,Corporate
CUST-00015,Brendan,Williams,simsthomas@example.com,928-350-4251,2004-01-05,2023-01-02,Wealth
CUST-00016,Julie,Berg,brianna38@example.net,+1-224-653-1237x72996,1974-10-16,2025-01-26,Corporate
CUST-00017,Tammy,Guerrero,matthewmitchell@example.org,001-865-549-7828x2449,1968-08-28,2025-05-09,Corporate
CUST-00018,Shelly,Lewis,cclark@example.org,684-821-1589x1074,2001-01-20,2022-01-06,Retail
CUST-00019,Jennifer,Nolan,xgutierrez@example.com,(416)267-0345x415,1965-12-11,2024-03-03,Retail
CUST-00020,Brad,Pruitt,karinacole@example.com,(860)751-7504x9928,1947-05-06,2021-08-22,Corporate
CUST-00021,Tyler,Sanders,michele53@example.com,(234)753-7438,1937-05-25,2022-05-30,Retail
CUST-00022,Brooke,King,julian50@example.net,257-798-2181,1942-08-03,2025-07-07,Retail
CUST-00023,Claudia,Bishop,lisa14@example.net,+1-605-521-1449x0832,1991-05-21,2023-01-16,Retail
CUST-00024,Wesley,Washington,umann@example.com,274-790-2688,1995-01-05,2025-10-26,Corporate
CUST-00025,Norma,Martinez,devon07@example.com,001-923-823-7054x43513,1981-12-06,2024-10-24,Retail
CUST-00026,Shannon,Johnson,joseph55@example.com,(918)948-8991x2245,2004-12-19,2023-03-30,Corporate
CUST-00027,David,Yang,thompsonshane@example.com,001-699-896-1446x54626,1941-04-11,2022-08-07,Retail
CUST-00028,Lisa,Davis,laurakelly@example.org,531-652-8156x4822,1978-01-22,2022-06-02,Wealth
CUST-00029,Kelly,Lara,philipwalker@example.com,7395074411,1980-06-30,2024-01-16,Retail
CUST-00030,Keith,Allen,lucassteele@example.net,001-917-755-7702x7003,1952-11-21,2025-11-19,Wealth
CUST-00031,Joseph,Bass,sherrimedina@example.org,976-727-1269,2003-10-30,2022-10-14,Wealth
CUST-00032,Jennifer,Bradley,lfitzpatrick@example.org,(449)288-3584,1962-07-16,2023-02-08,Wealth
CUST-00033,Darren,Reyes,anthony04@example.org,202.615.1778,1957-02-06,2022-07-02,Retail
CUST-00034,Philip,Taylor,johnny74@example.org,(779)648-3083x9984,1943-01-21,2023-04-10,Corporate
CUST-00035,Catherine,Jones,canderson@example.com,599-813-4286x9421,1963-10-20,2023-09-18,Retail
CUST-00036,Joseph,Rios,daniel00@example.org,+1-289-872-2001,1948-04-30,2025-05-07,Retail
CUST-00037,Amanda,Brooks,sjennings@example.com,001-442-785-1960x002,1941-04-17,2026-01-11,Wealth
CUST-00038,Kylie,Freeman,kaitlinhaas@example.net,599-903-8930x0425,1960-01-25,2024-07-25,Wealth
CUST-00039,Amanda,Fritz,emily00@example.com,931.585.7860,1977-03-28,2021-07-13,Wealth
CUST-00040,Samantha,Walter,brandoncampos@example.net,214.455.9941,1986-10-29,2023-08-24,Wealth
CUST-00041,Robert,Stewart,alijoseph@example.net,204-913-4145,1940-05-24,2022-07-30,Retail
CUST-00042,Bradley,Rogers,brandonluna@example.org,(801)551-1549,1970-01-07,2024-01-01,Corporate
CUST-00043,Russell,Diaz,michael18@example.net,+1-511-844-9389x9123,1961-11-19,2024-12-20,Corporate
CUST-00044,Joseph,Villanueva,myerscarla@example.com,3358824844,1947-03-19,2021-08-16,Corporate
CUST-00045,Whitney,Madden,stacylucas@example.org,4373372205,2001-05-17,2024-02-12,Retail
CUST-00046,Richard,Lawson,juliamason@example.com,344-686-7804x19297,1941-01-25,2025-10-26,Corporate
CUST-00047,Dalton,Watkins,stanleywilliams@example.com,201-520-6814x182,1984-02-10,2024-11-16,Wealth
CUST-00048,Alicia,Cardenas,tammyjuarez@example.net,001-989-247-6957x272,2004-11-21,2022-04-24,Corporate
CUST-00049,Terri,Miller,terrivasquez@example.org,(982)366-4128x56855,1973-03-03,2022-07-14,Retail
CUST-00050,David,Mitchell,susansmith@example.org,(853)282-2225x15291,1941-04-17,2022-03-01,Corporate
CUST-00051,Kyle,Newman,uadams@example.net,913-865-8674x9580,1978-07-09,2022-01-25,Retail
CUST-00052,David,Brooks,saracampbell@example.net,001-953-933-8894x06660,1964-06-30,2023-07-15,Corporate
CUST-00053,Kathleen,Baker,greenjeremy@example.org,404.872.7422x2277,1949-09-12,2024-04-01,Wealth
CUST-00054,Tara,Hickman,garciabrian@example.org,4355081280,2005-05-06,2023-09-05,Corporate
CUST-00055,Veronica,Potts,ojones@example.org,(210)352-9408,1944-09-28,2023-10-03,Retail
CUST-00056,Lindsay,Caldwell,tgarcia@example.org,657.773.3789x407,1936-06-01,2025-08-13,Retail
CUST-00057,Anthony,Wheeler,santiagodouglas@example.com,977.841.5613x6132,1976-06-21,2023-12-17,Retail
CUST-00058,Jessica,Hendrix,jonesamy@example.com,535.473.0700x0315,1995-01-05,2025-12-27,Corporate
CUST-00059,Nicole,Parker,mcbrideelizabeth@example.org,835-469-7367x9493,1999-09-20,2024-10-23,Wealth
CUST-00060,David,Jackson,lindsayroach@example.org,+1-448-788-9312,1996-08-16,2023-09-03,Corporate
CUST-00061,Steven,Ingram,stephaniestephenson@example.org,456.484.9564x7073,2006-03-01,2021-04-14,Retail
CUST-00062,Kristin,Barrera,amberwilliams@example.net,001-344-722-5218,1940-04-30,2022-12-19,Retail
CUST-00063,Johnathan,Lee,bellbradley@example.com,690-565-0324x39418,1968-11-08,2022-12-25,Corporate
CUST-00064,Larry,Elliott,jenniferrandall@example.net,+1-978-504-6435x55877,1977-03-24,2023-07-18,Wealth
CUST-00065,Logan,Brooks,karenpatterson@example.net,231-829-1695,2001-05-24,2022-06-06,Wealth
CUST-00066,Ryan,Lee,danagolden@example.org,962-331-0057x723,1935-06-02,2024-08-10,Retail
CUST-00067,Scott,Davis,teresa48@example.net,(572)564-0727,1979-02-17,2022-07-23,Wealth
CUST-00068,Erika,Leach,davisdavid@example.org,+1-281-420-9723,1999-01-04,2021-12-12,Retail
CUST-00069,Wayne,Torres,katherineflores@example.org,216-305-8753x234,1996-01-23,2022-10-11,Corporate
CUST-00070,Stephen,Richards,fowlertaylor@example.com,4796149183,1987-02-25,2023-11-08,Wealth
CUST-00071,Carlos,Montgomery,tara76@example.org,001-450-801-7031,2007-05-18,2024-04-29,Wealth
CUST-00072,Deborah,Perez,amandarice@example.org,605.789.1587x607,1960-01-19,2021-12-05,Wealth
CUST-00073,Sara,Ramirez,kimberly96@example.net,+1-751-797-4897x176,1995-07-31,2024-12-20,Corporate
CUST-00074,Craig,Patterson,zreilly@example.net,001-471-274-4933x87665,1938-11-29,2022-07-31,Wealth
CUST-00075,Sean,Ray,charles99@example.org,(556)954-6191x542,1991-10-15,2022-09-30,Wealth
CUST-00076,Gerald,Bishop,perezamy@example.net,(794)941-6273x14107,1993-02-24,2022-07-27,Corporate
CUST-00077,Curtis,Martinez,tanya44@example.org,787.337.8606x42757,1985-07-04,2024-09-22,Wealth
CUST-00078,Daniel,Walker,bhouston@example.net,4996010373,2006-08-18,2025-07-03,Retail
CUST-00079,Ryan,Mccall,yjames@example.org,276.802.2256x61959,1968-09-10,2023-12-11,Corporate
CUST-00080,Jessica,Ortiz,emilydrake@example.net,(667)865-9051x270,1966-10-10,2021-09-13,Retail
CUST-00081,Andrew,Montgomery,zholden@example.org,434-393-1507x116,1980-10-18,2023-02-24,Corporate
CUST-00082,Andrea,Rose,catherinesimpson@example.com,856.206.1298x637,1943-08-31,2024-03-30,Wealth
CUST-00083,Danny,Hernandez,copelandjohn@example.com,899-769-1529,1982-01-16,2025-01-21,Corporate
CUST-00084,Daniel,Harper,stevenslisa@example.org,2385914965,1949-12-23,2023-09-11,Retail
CUST-00085,Sharon,Fox,robertsmelissa@example.net,915-718-4642,1959-09-20,2022-02-18,Retail
CUST-00086,Amy,Washington,davidkim@example.net,001-495-245-0637x7237,1990-05-03,2023-12-10,Corporate
